RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
05/03/2024;ABEVOH24;BRABEV330017;FINANCIAL;12,67;12,86;12,8;12,79;2,07;12,79;;;294;124100;1588790
05/03/2024;ABEVOJ24;BRABEV340016;FINANCIAL;12,79;12,96;12,88;12,87;1,73;12,92;;;23;10300;132761
05/03/2024;AFSJ24;BRBMEFAFS1R4;FINANCIAL;;;;;;19012,7;;;;;
05/03/2024;AFSK24;BRBMEFAFS1S2;FINANCIAL;;;;;;19062,2;;;;;
05/03/2024;AFSM24;BRBMEFAFS1T0;FINANCIAL;;;;;;19116,9;;;;;
05/03/2024;AFSN24;BRBMEFAFS1U8;FINANCIAL;;;;;;19165,7;;;;;
05/03/2024;AFSQ24;BRBMEFAFS1V6;FINANCIAL;;;;;;19221,9;;;;;
05/03/2024;ARBJ24;BRBMEFARB1R9;FINANCIAL;;;;;;5,637;;;;;
05/03/2024;ARBK24;BRBMEFARB1S7;FINANCIAL;;;;;;5,348;;;;;
05/03/2024;ARBM24;BRBMEFARB1T5;FINANCIAL;;;;;;4,946;;;;;
05/03/2024;ARBN24;BRBMEFARB1U3;FINANCIAL;;;;;;4,597;;;;;
05/03/2024;ARBQ24;BRBMEFARB1V1;FINANCIAL;;;;;;4,225;;;;;
05/03/2024;ARSJ24;BRBMEFARS1G3;FINANCIAL;;;;;;881024,4;;;;;
05/03/2024;ARSK24;BRBMEFARS1H1;FINANCIAL;;;;;;931688,5;;;;;
05/03/2024;ARSM24;BRBMEFARS1I9;FINANCIAL;;;;;;1009834,2;;;;;
05/03/2024;ARSN24;BRBMEFARS1J7;FINANCIAL;;;;;;1089653,2;;;;;
05/03/2024;ARSQ24;BRBMEFARS1K5;FINANCIAL;;;;;;1189274,9;;;;;
