RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
06/03/2024;ABEVOH24;BRABEV330017;FINANCIAL;12,62;12,99;12,76;12,69;-0,78;12,73;;;160;73900;943451
06/03/2024;ABEVOJ24;BRABEV340016;FINANCIAL;12,77;13,12;12,88;12,79;-1;12,85;;;23;11000;141725
06/03/2024;AFSJ24;BRBMEFAFS1R4;FINANCIAL;;;;;;18862,3;;;;;
06/03/2024;AFSK24;BRBMEFAFS1S2;FINANCIAL;;;;;;18913,6;;;;;
06/03/2024;AFSM24;BRBMEFAFS1T0;FINANCIAL;;;;;;18968,6;;;;;
06/03/2024;AFSN24;BRBMEFAFS1U8;FINANCIAL;;;;;;19016,7;;;;;
06/03/2024;AFSQ24;BRBMEFAFS1V6;FINANCIAL;;;;;;19071,8;;;;;
06/03/2024;ARBJ24;BRBMEFARB1R9;FINANCIAL;;;;;;5,634;;;;;
06/03/2024;ARBK24;BRBMEFARB1S7;FINANCIAL;;;;;;5,297;;;;;
06/03/2024;ARBM24;BRBMEFARB1T5;FINANCIAL;;;;;;4,873;;;;;
06/03/2024;ARBN24;BRBMEFARB1U3;FINANCIAL;;;;;;4,548;;;;;
06/03/2024;ARBQ24;BRBMEFARB1V1;FINANCIAL;;;;;;4,203;;;;;
06/03/2024;ARSJ24;BRBMEFARS1G3;FINANCIAL;;;;;;879145,6;;;;;
06/03/2024;ARSK24;BRBMEFARS1H1;FINANCIAL;;;;;;938163,1;;;;;
06/03/2024;ARSM24;BRBMEFARS1I9;FINANCIAL;;;;;;1022261,4;;;;;
06/03/2024;ARSN24;BRBMEFARS1J7;FINANCIAL;;;;;;1098407,2;;;;;
06/03/2024;ARSQ24;BRBMEFARS1K5;FINANCIAL;;;;;;1192141,8;;;;;
06/03/2024;AUDJ24;BRBMEFAUD4M7;FINANCIAL;;;;;;3256,684;;;;;
06/03/2024;AUDK24;BRBMEFAUD4N5;FINANCIAL;;;;;;3270,63;;;;;
06/03/2024;AUDM24;BRBMEFAUD4O3;FINANCIAL;;;;;;3282,118;;;;;
06/03/2024;AUDN24;BRBMEFAUD4P0;FINANCIAL;;;;;;3293,336;;;;;
06/03/2024;AUDQ24;BRBMEFAUD4Q8;FINANCIAL;;;;;;3306,156;;;;;
06/03/2024;AUSJ24;BRBMEFAUS1R5;FINANCIAL;653,3;657,3;653,82;657,1;0,92;657,508;;;6;231;7461396,48
06/03/2024;AUSK24;BRBMEFAUS1S3;FINANCIAL;;;;;;658,161;;;;;
06/03/2024;AUSM24;BRBMEFAUS1T1;FINANCIAL;;;;;;658,809;;;;;
06/03/2024;AUSN24;BRBMEFAUS1U9;FINANCIAL;;;;;;659,261;;;;;
06/03/2024;AUSQ24;BRBMEFAUS1V7;FINANCIAL;;;;;;659,772;;;;;
06/03/2024;B3SAOH24;BRB3SA330050;FINANCIAL;12,22;12,38;12,31;12,27;0,32;12,29;;;134;219600;2703817
06/03/2024;B3SAOJ24;BRB3SA340059;FINANCIAL;12,33;12,5;12,42;12,4;0,4;12,41;;;51;94400;1173308
06/03/2024;BBASOH24;BRBBAS330015;FINANCIAL;58,28;59,15;58,67;59,09;1,4;59,11;;;205;155800;9141771
06/03/2024;BBASOJ24;BRBBAS340014;FINANCIAL;58,85;59,7;59,2;59,63;1,34;59,69;;;111;86400;5115016
06/03/2024;BBDCPH24;BRBBDC430018;FINANCIAL;13,88;14,03;13,93;13,89;0,87;13,86;;;48;48000;668890
06/03/2024;BBDCPJ24;BRBBDC440017;FINANCIAL;14,02;14,11;14,06;14,05;1,07;14;;;7;7000;98460
06/03/2024;BGIF25;BRBMEFBGI732;AGRIBUSINESS;;;;;;237,25;;;;;
06/03/2024;BGIH24;BRBMEFBGI6U7;AGRIBUSINESS;228,55;230,6;229,61;229,4;-0,43;229,45;;;506;670;50768289
06/03/2024;BGIJ24;BRBMEFBGI6R3;AGRIBUSINESS;224,25;226,5;225,7;226,05;-0,11;226;;;111;135;10055199
06/03/2024;BGIK24;BRBMEFBGI6Q5;AGRIBUSINESS;224,15;226;225,07;226;-0,17;225,8;;;284;372;27630735
06/03/2024;BGIM24;BRBMEFBGI708;AGRIBUSINESS;224,65;225,85;225,01;225,75;-0,08;226,1;;;30;513;38092510,5
06/03/2024;BGIN24;BRBMEFBGI716;AGRIBUSINESS;227,75;228,95;228,02;228,2;-0,13;228,2;;;55;552;41537034
06/03/2024;BGIQ24;BRBMEFBGI6T9;AGRIBUSINESS;233,45;233,45;233,45;233,45;1,43;229,95;;;1;1;77038,5
06/03/2024;BGIQ25;BRBMEFBGI6Z6;AGRIBUSINESS;;;;;;211,55;;;;;
06/03/2024;BGIU24;BRBMEFBGI724;AGRIBUSINESS;;;;;;231,35;;;;;
