RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
25/03/2024;ABEVOJ24;BRABEV340016;FINANCIAL;12,37;12,54;12,41;12,4;-0,8;12,32;;;285;125600;1558779
25/03/2024;ABEVOK24;BRABEV350015;FINANCIAL;12,49;12,5;12,49;12,49;-0,87;12,41;;;4;2000;24990
25/03/2024;AFSJ24;BRBMEFAFS1R4;FINANCIAL;18935;18935;18935;18935;-0,37;18928,1;;;1;89;1166004,8
25/03/2024;AFSK24;BRBMEFAFS1S2;FINANCIAL;;;;;;18978,2;;;;;
25/03/2024;AFSM24;BRBMEFAFS1T0;FINANCIAL;;;;;;19025,2;;;;;
25/03/2024;AFSN24;BRBMEFAFS1U8;FINANCIAL;;;;;;19075,2;;;;;
25/03/2024;AFSQ24;BRBMEFAFS1V6;FINANCIAL;;;;;;19132,2;;;;;
25/03/2024;ARBJ24;BRBMEFARB1R9;FINANCIAL;;;;;;5,761;;;;;
25/03/2024;ARBK24;BRBMEFARB1S7;FINANCIAL;;;;;;5,423;;;;;
25/03/2024;ARBM24;BRBMEFARB1T5;FINANCIAL;;;;;;5,119;;;;;
25/03/2024;ARBN24;BRBMEFARB1U3;FINANCIAL;;;;;;4,871;;;;;
25/03/2024;ARBQ24;BRBMEFARB1V1;FINANCIAL;;;;;;4,613;;;;;
25/03/2024;ARSJ24;BRBMEFARS1G3;FINANCIAL;;;;;;863397,3;;;;;
25/03/2024;ARSK24;BRBMEFARS1H1;FINANCIAL;;;;;;919949,9;;;;;
25/03/2024;ARSM24;BRBMEFARS1I9;FINANCIAL;;;;;;977106,3;;;;;
25/03/2024;ARSN24;BRBMEFARS1J7;FINANCIAL;;;;;;1029645,8;;;;;
25/03/2024;ARSQ24;BRBMEFARS1K5;FINANCIAL;;;;;;1090690,2;;;;;
25/03/2024;AUDJ24;BRBMEFAUD4M7;FINANCIAL;;;;;;3251,897;;;;;
25/03/2024;AUDK24;BRBMEFAUD4N5;FINANCIAL;;;;;;3264,907;;;;;
25/03/2024;AUDM24;BRBMEFAUD4O3;FINANCIAL;;;;;;3275,781;;;;;
25/03/2024;AUDN24;BRBMEFAUD4P0;FINANCIAL;;;;;;3287,243;;;;;
25/03/2024;AUDQ24;BRBMEFAUD4Q8;FINANCIAL;;;;;;3300,004;;;;;
25/03/2024;AUSJ24;BRBMEFAUS1R5;FINANCIAL;654;654,7;654,31;654,1;0,38;653,82;;;8;462;15032481
25/03/2024;AUSK24;BRBMEFAUS1S3;FINANCIAL;654,5;655,1;654,69;654,5;0,34;654,409;;;8;732;23831308,56
25/03/2024;AUSM24;BRBMEFAUS1T1;FINANCIAL;;;;;;654,948;;;;;
25/03/2024;AUSN24;BRBMEFAUS1U9;FINANCIAL;;;;;;655,436;;;;;
25/03/2024;AUSQ24;BRBMEFAUS1V7;FINANCIAL;;;;;;655,924;;;;;
25/03/2024;B3SAOJ24;BRB3SA340059;FINANCIAL;12;12,12;12,05;12,05;-0,33;11,99;;;153;264500;3187789
25/03/2024;B3SAOK24;BRB3SA350058;FINANCIAL;12,09;12,19;12,13;12,14;-0,32;12,08;;;113;170900;2074474
25/03/2024;BBASOJ24;BRBBAS340014;FINANCIAL;55,8;56,5;56,15;55,87;0,07;56,03;;;203;123000;6907262
25/03/2024;BBASOK24;BRBBAS350013;FINANCIAL;56,27;56,84;56,56;56,36;0,19;56,45;;;7;4900;277182
25/03/2024;BBDCPJ24;BRBBDC440017;FINANCIAL;13,98;14,09;14,03;14,06;-0,07;14,04;;;23;22200;311634
25/03/2024;BBDCPK24;BRBBDC450016;FINANCIAL;14,19;14,19;14,19;14,19;0,14;14,15;;;1;1000;14190
25/03/2024;BGIF25;BRBMEFBGI732;AGRIBUSINESS;;;;;;239,95;;;;;
25/03/2024;BGIH24;BRBMEFBGI6U7;AGRIBUSINESS;228,35;231;230,49;230,8;0,67;230,4;;;184;271;20613433,5
25/03/2024;BGIJ24;BRBMEFBGI6R3;AGRIBUSINESS;226,7;229,5;228,51;229;0,83;228,8;;;176;258;19455546
25/03/2024;BGIK24;BRBMEFBGI6Q5;AGRIBUSINESS;224,05;228,35;227,1;228,35;1,46;227,6;;;815;1622;121559361
25/03/2024;BGIM24;BRBMEFBGI708;AGRIBUSINESS;228,5;229,5;228,75;229,5;0,54;229,9;;;21;54;4076325
