RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
08/03/2024;ABEVOH24;BRABEV330017;FINANCIAL;12,65;12,93;12,84;12,87;1,49;12,87;;;328;132100;1696192
08/03/2024;ABEVOJ24;BRABEV340016;FINANCIAL;12,84;13,06;12,97;12,99;1,4;12,99;;;63;29500;382658
08/03/2024;AFSJ24;BRBMEFAFS1R4;FINANCIAL;18633;18633;18633;18633;-0,51;18772,4;;;6;314;4103664,51
08/03/2024;AFSK24;BRBMEFAFS1S2;FINANCIAL;;;;;;18825,5;;;;;
08/03/2024;AFSM24;BRBMEFAFS1T0;FINANCIAL;;;;;;18875,9;;;;;
08/03/2024;AFSN24;BRBMEFAFS1U8;FINANCIAL;;;;;;18923,4;;;;;
08/03/2024;AFSQ24;BRBMEFAFS1V6;FINANCIAL;;;;;;18978,1;;;;;
08/03/2024;ARBJ24;BRBMEFARB1R9;FINANCIAL;;;;;;5,701;;;;;
08/03/2024;ARBK24;BRBMEFARB1S7;FINANCIAL;;;;;;5,382;;;;;
08/03/2024;ARBM24;BRBMEFARB1T5;FINANCIAL;;;;;;5,02;;;;;
08/03/2024;ARBN24;BRBMEFARB1U3;FINANCIAL;;;;;;4,669;;;;;
08/03/2024;ARBQ24;BRBMEFARB1V1;FINANCIAL;;;;;;4,291;;;;;
08/03/2024;ARSJ24;BRBMEFARS1G3;FINANCIAL;;;;;;875422,1;;;;;
08/03/2024;ARSK24;BRBMEFARS1H1;FINANCIAL;;;;;;930270,7;;;;;
08/03/2024;ARSM24;BRBMEFARS1I9;FINANCIAL;;;;;;999843,5;;;;;
08/03/2024;ARSN24;BRBMEFARS1J7;FINANCIAL;;;;;;1078034,3;;;;;
08/03/2024;ARSQ24;BRBMEFARS1K5;FINANCIAL;;;;;;1176669,2;;;;;
08/03/2024;AUDJ24;BRBMEFAUD4M7;FINANCIAL;;;;;;3305,175;;;;;
08/03/2024;AUDK24;BRBMEFAUD4N5;FINANCIAL;;;;;;3319,287;;;;;
08/03/2024;AUDM24;BRBMEFAUD4O3;FINANCIAL;;;;;;3330,424;;;;;
08/03/2024;AUDN24;BRBMEFAUD4P0;FINANCIAL;;;;;;3341,595;;;;;
08/03/2024;AUDQ24;BRBMEFAUD4Q8;FINANCIAL;;;;;;3354,769;;;;;
08/03/2024;AUSJ24;BRBMEFAUS1R5;FINANCIAL;662,1;664,3;662,68;662,5;0,01;662,267;;;7;756;24949391,64
08/03/2024;AUSK24;BRBMEFAUS1S3;FINANCIAL;;;;;;662,94;;;;;
08/03/2024;AUSM24;BRBMEFAUS1T1;FINANCIAL;;;;;;663,501;;;;;
08/03/2024;AUSN24;BRBMEFAUS1U9;FINANCIAL;;;;;;663,96;;;;;
